channelid,subscriber_lifetime,views_lifetime,life_uploads,catid,category,View_range,upload_range,last_30_eng,last_30_views
UCtoqiuus8_aggFSjKtfUPGA,1391,237499,106,26,Howto & Style,high,low,1,54
UCmDech6aE-2QiA6gZ8X85BA,1391,364348,4,22,People & Blogs,high,low,3,603
UClqb2guBeevHOMALn0uDQew,1391,26285,225,20,Gaming,high,low,9,1491
UCbLOVtMdNbNMxeixLxn10eQ,1392,408229,80,2,Autos & Vehicles,high,low,3,54
UCwjVEx76YPStrRXvnVnvrnA,1392,100804,186,27,Education,high,low,4,30
UCrOGjBqQuRGumqEX-16zuGw,1393,154833,97,10,Music,high,low,1,99
UCjg9EQqOYplT8sY_bK_Cyhg,1393,173599,185,26,Howto & Style,high,low,1,191
UCROzR2hsI2sidLA1zD5mqew,1393,33811,32,27,Education,high,low,1,218
UCoG-n5X9m4U42ALptFZXSGA,1396,36865,40,24,Entertainment,high,low,2,485
UClIHjh_MkdiG1dVQHP3M0Fg,1397,171276,271,27,Education,high,low,20,90
UCKwsbOvhiYvm0xKt5eUVlYw,1398,60659,29,10,Music,high,low,1,51
UClyJTsdi9YLxW9YhLJbAqOQ,1400,1144701,107,22,People & Blogs,high,low,1,6
UCdte59E7Dz6b2Rc14L8AaUA,1400,85004,37,22,People & Blogs,high,low,8,256
UCJrARxkFa1fxOxNQGI_JlDA,1400,52612,19,25,News & Politics,high,low,3,28973
UCPCxwq-Z1nyHrSadjccQ32Q,1402,1592102,293,28,Science & Technology,high,low,5,55
UCem5QFFr-YvfONtsswhh7vg,1403,540284,67,27,Education,high,low,4,38
UCfxy19Wa_VCaGdqMWpwAsFg,1404,43353,3,28,Science & Technology,high,low,2,21
UCNBuByD9iIgqElwmIIqoIiA,1404,49237,237,27,Education,high,low,7,98
UCkPbFKXNMfcUU2LZIcm2v0Q,1405,426488,61,22,People & Blogs,high,low,12,237
UC2ZzJB4rGc_TiRiRVoUc56w,1405,3566,8,22,People & Blogs,medium,low,1,128
UC0cm056FVmGWXu4-9-kPT0Q,1405,44449,39,22,People & Blogs,high,low,2,1054
UCGL4gtzFxH25XhQtJogwgsQ,1406,220477,31,26,Howto & Style,high,low,1,57
UC8Rcb45W0wkY8kigdsXl5SA,1406,208137,1408,25,News & Politics,high,medium,25,81
UCjlNnKWBAOZhcX8Qh3XFN-Q,1408,355684,1000,27,Education,high,medium,9,50
UCT0np6zP3VcQTeFQlSn_iFA,1408,258841,293,22,People & Blogs,high,low,9,83
UCwe0c5STd5ATaW8G2AxqwxQ,1408,367296,178,24,Entertainment,high,low,2,86
UCLdmIbe8d4Kf6pQQRBZjzDA,1408,25747,53,22,People & Blogs,high,low,5,951
UC9cnLd7HjEA4oDyuz4MYzpA,1409,105667,25,27,Education,high,low,9,58
UCr4744bYxUG4n-3ufb5ErPA,1410,128157,13,22,People & Blogs,high,low,4,8
UCgal6xt02Sndie4S9ueyeMg,1411,79767,219,22,People & Blogs,high,low,1,72
UCEX3pUFH1h2wKj9JGzeV1jg,1412,84883,149,25,News & Politics,high,low,82,71
UCF7MED1gdaCweYLL6mWDevQ,1413,22102,374,20,Gaming,high,low,1,-11
UC2dWV4lIPkh6FjMW7SQfm1Q,1413,350811,56,28,Science & Technology,high,low,3,177
UCQfzJZrBoYROBW-d4pHJwUw,1413,588425,89,20,Gaming,high,low,4,169
UCoPy1z1GLXWkbwDlyLVboqA,1413,101920,120,10,Music,high,low,1,175
UCLfC8C_SJABLtc_ZnljTtCA,1415,869001,263,23,Comedy,high,low,10,33
UCr6AtJS_s-PPFYbjXCCJibw,1416,385056,285,2,Autos & Vehicles,high,low,3,284
UCcs-N-3a3oF66ojFpW7J-hA,1416,259848,86,22,People & Blogs,high,low,1,431
UCgfpSlXjg79fzDu0LEitMrA,1417,143686,49,22,People & Blogs,high,low,1,170
UCko7HLu1a5H2icQREse-cGw,1418,70207,34,26,Howto & Style,high,low,1,82
UC75ni4I-AG9dY6lge9gpWSA,1418,199860,52,24,Entertainment,high,low,35,1274
UCFHSe_2Z16PKADWYS31m1yw,1420,218530,39,27,Education,high,low,6,-1422
UC497XDnidS6DB2NoWlK8naw,1420,269379,37,27,Education,high,low,3,67
UCmlJ4Vl8IRQGjAfUXptNbRA,1420,669207,5,24,Entertainment,high,low,1,40
UCRM4NL33J33YErh3939cJLA,1420,153365,109,27,Education,high,low,1,104
UCFZ2Y3Qbv8ukmIKouMcpByA,1421,18468,30,22,People & Blogs,high,low,1,991
UC-nfHR2sr92bKUgRtV7C2YQ,1422,48496,34,24,Entertainment,high,low,1,325
UC__DBzA_X8opzIj5wqT6t_Q,1423,92144,15,22,People & Blogs,high,low,2,282
UCJX8UXDpo2QQSDg0Y6DuofA,1424,199962,629,20,Gaming,high,low,2,52
UCvTn8Zl2rK3aagawksGLTFw,1425,477660,366,22,People & Blogs,high,low,2,94
UCTKb9v9v-yZg9v1AsWMg-nw,1425,48362,15,22,People & Blogs,high,low,1,2827
UCtqx6RgjjV8GhopAaITe0lw,1426,395651,147,24,Entertainment,high,low,6,71
UCtRqARzrG55bYp7mNb1AzOw,1426,609976,152,27,Education,high,low,174,166
UCZgCpIkdgKl74sxNNYDxM4w,1427,18677,11,22,People & Blogs,high,low,1,132
UCg99cpD5KfJk0Ug7NTdGhCw,1428,327966,240,27,Education,high,low,15,10
UCwlmm_1ugJISg3u7zDa2YFQ,1430,451779,2279,22,People & Blogs,high,medium,36,79
UC7WLvDtIXCVgqLPHPaLIDLw,1430,300672,90,28,Science & Technology,high,low,1,62
UCMEYa4J5vbHvr-FLjyapPDA,1430,249784,85,22,People & Blogs,high,low,3,186
UCH_cAFrCPJzRWgohL8IlzKw,1431,144162,13,10,Music,high,low,1,61
UCtB_fmJ73llhGZHwKT3koXg,1431,260938,87,10,Music,high,low,1,117
UC3e-zfx_mYKu6n8oA_Sm6Ow,1432,81692,248,27,Education,high,low,24,237
UC4CBez8kGD-JuFfegPrhPJg,1433,1832,10,22,People & Blogs,medium,low,6,31
UCxRD9N6WcnwGxAhz-RTxV7A,1434,353427,31,22,People & Blogs,high,low,1,244
UCRT238Cr2D96ZVzuXssI8Qg,1435,76073,44,27,Education,high,low,1,64
UCTd9NIX_yPJQuNvdftSRp7A,1435,1135,2,10,Music,medium,low,1,3
UCd5NtPjFw3ICta6X6_XdKrw,1436,293998,156,19,Travel & Events,high,low,5,35
UCW9UaAf7RUE6MRBeFO2G5oA,1436,227090,280,24,Entertainment,high,low,5,134
UC0KWHn24jjo-vaGsD8QsYbg,1436,78384,101,19,Travel & Events,high,low,1,39
UCVcDhvhisfcvx9Dic-INbNA,1436,152476,336,19,Travel & Events,high,low,1,251
UCUbhtpmudp_9vfmytdcD3lQ,1436,31890,22,22,People & Blogs,high,low,1,20156
UChuzFvKmyMexYObWbJNcADA,1437,73397,74,24,Entertainment,high,low,2,66
UC95jnNS2UKy3N58FT3Rs6ag,1438,487343,13,22,People & Blogs,high,low,4,144
UCJr4CeDaAB87qOR-lQEkovA,1439,18103,33,28,Science & Technology,high,low,1,300
UC_hFrYHyw1J1Y0BrnqDvMlQ,1440,525642,342,24,Entertainment,high,low,1,91
UC8JuMdMDAoRcJXhP0e1HbPg,1442,505918,42,10,Music,high,low,2,93
UCbYg469D0_H2Ggtgpl53YKw,1442,136085,35,19,Travel & Events,high,low,6,1238
UCxLJXw7tf9rDPterLDL6mKw,1443,161488,23,22,People & Blogs,high,low,1,136
UCJ-3IEZbCU9t-X_jSjkrK3Q,1445,49688,15,24,Entertainment,high,low,2,74
UCwS2tW-FKnPedqxLJ3thIWQ,1445,286410,55,22,People & Blogs,high,low,1,29
UCFjwDrth-UO8qTDJ44HQHLA,1445,322499,170,28,Science & Technology,high,low,2,44
UCib2G9S9sSGr01puS2ljgEg,1447,124512,239,17,Sports,high,low,1,2067
UC8DEIYhUQyqJkAG0ai7baQw,1448,507764,312,27,Education,high,low,5,42
UC2X5JecqjMbQBfmvT22x1_Q,1448,72767,106,27,Education,high,low,1,119
UCnJ5tJWNEpqT9pIJWRKCMWQ,1449,75293,33,22,People & Blogs,high,low,3,428
UC9pzO_q2bFStJHD1LYhutlw,1450,564422,470,27,Education,high,low,1,26
UCRakdpB_OEylGnDklAntS_w,1450,545768,934,25,News & Politics,high,low,1,196
UCBJHxbwdI16-xxDupPpbZdg,1451,9213,59,22,People & Blogs,medium,low,2,10
UCkbTetETwWMRS0Acqvrct5g,1451,757860,92,10,Music,high,low,3,112
UCV7wlVpAci4bGCxLRJHbBPA,1452,994453,3,22,People & Blogs,high,low,1,29481
UCsmpQTD5d_jTElyN0VAjZPg,1453,85011,74,26,Howto & Style,high,low,1,4967
UCBp340AgpODlEE72BpsblAQ,1454,50060,104,24,Entertainment,high,low,1,45
UCSh8riZc3sujsrD5uaDStNA,1454,685038,8,24,Entertainment,high,low,7,51
UCu2KiaoImVt9ODMU9s3SObw,1454,176848,15,10,Music,high,low,1,54
UCNXtqOh40lWoMB0dga0f3Qg,1455,44801,29,28,Science & Technology,high,low,1,12
UCm0IjGyNKNp0JpRIlbiaY5w,1455,311233,22,22,People & Blogs,high,low,1,64
UCFYficvtB8JSimFDlYVodNQ,1455,188616,189,10,Music,high,low,1,120
UCP-wfRGi884sg91pAUM0c9A,1456,279554,95,22,People & Blogs,high,low,18,188
UCkAcpiQaTnsfVXk3ZJ1-0RQ,1456,116221,28,10,Music,high,low,1,946
UCK1Baa3DyxvCzsLur3pKd5Q,1457,415509,17,22,People & Blogs,high,low,1,23
UCstVszZxQmsrNPFoJDFeGUA,1457,471786,16,22,People & Blogs,high,low,1,34
UCw_oFkaSy4qF1f5sSq8uwQg,1457,86766,140,24,Entertainment,high,low,1,41
UCrwJGRWXwLVrvcoblKzsxpA,1458,121597,66,19,Travel & Events,high,low,12,104
UCoojGc6-CmBNKInUiy6iCIQ,1458,843833,24,10,Music,high,low,1,16
UCap9RlJYy7MATkvl-NsqjFQ,1458,102332,28,19,Travel & Events,high,low,1,395
UC28UH-cXDoC69YZ0M0_pF5A,1460,180898,55,22,People & Blogs,high,low,1,42
UCQ8xuVEc9iq6hMaBkzSqa0A,1461,122853,29,1,Film & Animation,high,low,3,63
UCJjqRxbQ7HNmieMm3ACeoMA,1461,143469,65,22,People & Blogs,high,low,1,11
UCbNUgceaoBSh7EHYegXcXkQ,1461,430688,265,22,People & Blogs,high,low,2,162
UCXnvG2TnDRisQrl566aaRRQ,1462,75392,101,27,Education,high,low,1,236
UCuoFXj1oapkjRcD6WjWlOtA,1462,49542,544,27,Education,high,low,3,271
UCoNicOvhdKBaQEGepvS2xsA,1463,258440,89,28,Science & Technology,high,low,6,40
UC2V-aeLWtfLEUYp4cE9G33g,1465,31672,44,10,Music,high,low,3,35
UCaZRu89pLRh5IfuEzC8cqsQ,1465,15376,53,22,People & Blogs,high,low,13,21
UC3JA8kg4P1Xm3RoCpHqWUcQ,1467,225888,462,24,Entertainment,high,low,2,169
UCXCYWO3qOcHx2ZNA9Hrt2uA,1467,147222,200,27,Education,high,low,1,695
UC1w7USCFdOoHEVEJ64NgiYQ,1468,89076,56,24,Entertainment,high,low,1,199
UCLzOyK7zkl17GjzdClT307g,1469,62921,26,24,Entertainment,high,low,1,131
UCXU3wKdua3mjCLdtGayIJEg,1469,322380,36,2,Autos & Vehicles,high,low,1,209
UCTZMzg3PgsxXWxT2R_RgiqQ,1470,90024,63,23,Comedy,high,low,1,71
UC2K9OiB6zppVfbWhj2AvLZQ,1471,421405,44,22,People & Blogs,high,low,2,305
UCMVnpbUXSatzs4K8Ap1ccOQ,1472,39791,76,26,Howto & Style,high,low,1,169
UCpPrM_j22P-U-1nHRrSPr2A,1473,802900,101,22,People & Blogs,high,low,1,38
UCSb9dyOgWQyW_m4OsDSCDzg,1473,36220,13,19,Travel & Events,high,low,1,354
UCgesDZdGYPoQIOKv-8xSgdQ,1474,168012,20,27,Education,high,low,1,534
UC7_Ort3wiTXRn1Nb1PTBNCw,1476,10968,3,22,People & Blogs,high,low,1,1
UC5GjCMwHYAT9c4LnmWHX-LA,1477,9529,41,1,Film & Animation,medium,low,5,78
UCpxLGW1edzA40yFGjxCfdrw,1478,1620219,203,22,People & Blogs,high,low,2,37
UC2GSJzb4guYwms0i8-Ey4eQ,1479,1050772,197,20,Gaming,high,low,4,169
UCn9y_0Zvw4VIsyOaW0e2mzw,1482,232092,43,28,Science & Technology,high,low,2,138
UCNziudEnn-9syNbemPYyvpA,1482,261942,350,22,People & Blogs,high,low,1,783
UCL9DjgPiatKA6iMgqdjV7lQ,1484,27585,102,27,Education,high,low,1,9
UCa-eSrRfQHLX-OL4G2NxS2Q,1484,384164,1579,28,Science & Technology,high,medium,14,83
UCgOCW9CMhFo_4HZqdBh6W5g,1485,39533,63,22,People & Blogs,high,low,22,128
UCBSPwz1KQa6ScNjdMoJ_32g,1485,254383,338,24,Entertainment,high,low,2,200
UCH5jzW34fTQfpEIHRv6nItg,1487,372818,55,27,Education,high,low,1,57
UCjvH81kodTyR32YCF-seFEg,1488,199047,46,24,Entertainment,high,low,24,41
UCke0Ch55b-uoI6HzfNHpEDA,1488,154149,194,22,People & Blogs,high,low,1,199
UCmZVLTCUJSWAtK9Jn-kWwWQ,1488,183029,86,10,Music,high,low,3,236
UCQn65AXZc4kriKqM94bKSUw,1489,114117,58,10,Music,high,low,1,16
UCbWU-Sad2jybJ7dDGMxVAAg,1489,431068,163,28,Science & Technology,high,low,5,33
UCgy3gJr9kqM2DD729kzoZow,1489,422745,233,25,News & Politics,high,low,3,48
UCoeHW6Xx9cho75PVREjv4Pg,1490,353960,34,24,Entertainment,high,low,3,29
UC3Rfg-JZZeLRBb8ZKP5xv6w,1490,1070638,30,25,News & Politics,high,low,3,9735
UChTN-TNJBocF6X7TRa4eBPQ,1491,791799,0,22,People & Blogs,high,low,2,-4
UChS7ikJN8vB_hhdV7ZvKgAw,1491,282635,28,10,Music,high,low,1,-1483
UCe3GNSvnxvXuLLJTGKa1AVg,1491,159246,38,24,Entertainment,high,low,3,56
UCGTrhragz-ivzJT4woWGgaQ,1491,65086,142,26,Howto & Style,high,low,1,939
UCeHSl_CRHPv9QjIG9OfTh4A,1491,31897,34,22,People & Blogs,high,low,1,5446
UC8RI4bgerKeI8x8UgyEV_HA,1494,149360,99,10,Music,high,low,6,74
UCBd7mQqfdeV2vRCZPPW8Lcw,1495,254472,30,24,Entertainment,high,low,2,2617
UC-746Nq8tIhyZqNC9WmRxHw,1496,9733,9,22,People & Blogs,medium,low,1,140
UC2w9wkGx_4kY4TaHH0JuRqA,1497,466121,99,26,Howto & Style,high,low,1,36
UC8HxLqNBByrIUBHcwwdi0FA,1497,42346,26,22,People & Blogs,high,low,2,582
UC-dZ26019J-8WjnvsjtFG-Q,1498,145093,89,19,Travel & Events,high,low,5,91
UCLIvucca_g2bKpk51rV3GGw,1499,140140,129,22,People & Blogs,high,low,2,106
UCH76B_X5lpBt53e-Ex08O1w,1499,68231,24,24,Entertainment,high,low,1,10685
UCsmo3bbdxFwvJ1yIc9iVQIg,1501,662319,146,24,Entertainment,high,low,1,10
UCG1dHbzZNGey0EBM-imF6sA,1501,295036,129,22,People & Blogs,high,low,4,78
UCK7plWOhuyheFZEP3ZO7heQ,1502,118561,19,22,People & Blogs,high,low,1,2545
UCoCcwZ1V19oGggIbA0cjJow,1502,124550,29,22,People & Blogs,high,low,1,5075
UCC92vTghEm2EnGx_nmVG09A,1503,129059,58,24,Entertainment,high,low,2,60
UCqIIDzWzeyU2p7Aq3UGKu8g,1504,387330,403,22,People & Blogs,high,low,24,61
UCJcgA1VDZBNIhgaMzk8b82Q,1506,223757,85,22,People & Blogs,high,low,3,97
UC9miPYUQ8TeDwslwznGXKbQ,1506,103457,278,24,Entertainment,high,low,9,110
UC88SzYvOwFMgZT3XhDfKpyg,1506,73325,6,24,Entertainment,high,low,1,394
UCaarbI1XA8mREBka6I6kszQ,1507,281186,102,26,Howto & Style,high,low,20,261
UCEMSya-DGGhAVowe784u6LQ,1508,473137,407,20,Gaming,high,low,2,34
UCdmFIOSV54AR1K5Gtx_4VIw,1509,1327907,204,19,Travel & Events,high,low,32,95
UC153Tp1eyf1fDF8-n4H00pw,1509,57930,137,27,Education,high,low,13,234
UCbC9vyLwEu_J-sbZGFk3vRQ,1510,51120,67,27,Education,high,low,4,206
UCpX9gpAFyGJ_WwcfHFR4eFA,1510,373564,27,22,People & Blogs,high,low,18,121
UCeOoEbY8lXMzNSDn1Nw3MXQ,1512,2858,34,24,Entertainment,medium,low,3,17
UCRuJHNXiRb6sgmwo2y-Y1-Q,1512,77978,37,23,Comedy,high,low,2,2131
UC6cjfhzBKgtBOeHpGo0c-Ag,1512,124710,84,20,Gaming,high,low,1,16
UCvK2XMjySof1OcYByIiUsCQ,1512,24970,102,22,People & Blogs,high,low,1,380
UC4TXQnbkH-Uxo0x_WqNBOYQ,1513,53220,141,28,Science & Technology,high,low,1,1248
UCR9a_oqL8SxxbslRu6hsuDQ,1514,102328,36,22,People & Blogs,high,low,1,55
UCRj48suteyENVggEWxtbuUQ,1514,76500,434,20,Gaming,high,low,1,108
UCV4JkP6p835ZN2nr3RVwicw,1514,83826,173,25,News & Politics,high,low,1,1580
UC9ID6PHUarppkNtimSh5UbA,1515,45767,4,10,Music,high,low,3,331
UChHrnWH9DT3NKFcqxdKAizg,1517,205543,1986,24,Entertainment,high,medium,97,108
UCGxkJv4CcoMNrZbOpDH_MRw,1519,357143,57,22,People & Blogs,high,low,1,218
UCwQjINeIWyDFC55qw62WUjg,1519,66295,57,27,Education,high,low,1,455
UCkZTRNRcpKbIx4kiVz6A0EQ,1519,5112,11,22,People & Blogs,medium,low,1,1007
UCIvy6fk1J_9xJQBrGz7xW0Q,1520,309705,1170,27,Education,high,medium,1,77
UCWLfQjHT2TIgiimISsctZ-A,1520,255574,39,22,People & Blogs,high,low,1,34
UChXBc8U_qORLVjafZX4FPSA,1520,86796,18,22,People & Blogs,high,low,1,174
UCQOJyu2S2lRLsMaFFlFju_Q,1521,110331,12,10,Music,high,low,2,127
UCbvQL--KR_caDMDDkbwJqNQ,1521,128586,836,25,News & Politics,high,low,38,145
UCtXnhlUdtmFbFSkMT_BnL9g,1521,175016,171,22,People & Blogs,high,low,6,165
UCf02Yy1pq55apX3u4W4DF6Q,1521,78755,172,24,Entertainment,high,low,1,165
UCSIE8vkpowLsgjp22PCOltg,1522,152836,88,24,Entertainment,high,low,3,320
UCJTRNYLTC1m0PosFDRgoDuQ,1522,43196,58,26,Howto & Style,high,low,1,169
UCag7IUIyWwO3ZmCM9yURAew,1522,124116,111,22,People & Blogs,high,low,1,399
UCwD88mRKBWDQnZ1PQqVQ0iA,1523,265639,628,20,Gaming,high,low,32,63
UCPQ2jo8af4RZ2r6ELJBq3xQ,1524,398186,858,25,News & Politics,high,low,4,93
UCAoiEJ0JvPSFqRmsvnPW2PA,1525,533030,89,22,People & Blogs,high,low,1,61
UCMhdSU_FfnoL_weQmpJnRQA,1526,332618,131,10,Music,high,low,10,65
UCnFU0-iVqmIIwvCFplYUqfw,1526,320647,68,10,Music,high,low,10,0
UCupw0Jg9oPJtX-HxA2TS63Q,1527,559639,29,26,Howto & Style,high,low,1,14
UCQfU43_VY2Tq3f7EHidA1LA,1527,82649,167,26,Howto & Style,high,low,4,-1476
UC282_5N2CXZ1XXRoGhRS0_Q,1529,144042,187,25,News & Politics,high,low,9,30
UCtUEbYDBUqosQyd03Z8QesA,1529,638757,142,24,Entertainment,high,low,9,0
UC2LRE_9HHA9cB--dVmmLT0A,1529,14187,19,22,People & Blogs,high,low,1,16
UCE73FXGaWmFVXYXDgaDFQUA,1530,18751,52,10,Music,high,low,1,51
UC4rd4mGcBJ-hg0TuDNRiPHA,1530,57522,28,27,Education,high,low,1,1806
UCXs3To9YLlIrrJfFB63DzCQ,1531,274115,43,22,People & Blogs,high,low,1,90
UCwspsTFeduMNCphqMM4hRyw,1533,313218,240,24,Entertainment,high,low,15,106
UCHx3wAgA5OuscAciu2IxSxA,1536,359518,24,1,Film & Animation,high,low,1,179
UC1aXz98Y7RIuKw-319BnKwA,1536,27001,58,24,Entertainment,high,low,3,36
UCD_4-_prPdPPFsTYO0Cnqmg,1536,325679,21,1,Film & Animation,high,low,6,1144
UCPK4dQJQOmF-uvCjkQURygA,1537,90189,103,20,Gaming,high,low,82,653
UC0IrbbvYRFMuQ4EBklzqTtg,1537,389881,59,10,Music,high,low,1,109
UCv2kC0xHlMPTrboWL-9svhQ,1538,34556,4,24,Entertainment,high,low,1,12
UCRRxElFYRs8I1U3JNZSxvsg,1539,212295,5,10,Music,high,low,2,90
UCqrHVbWMadyPEXgJ7mAc35A,1539,41796,26,27,Education,high,low,8,65
UCHEmU5mSMhRzQCa0cSeeczA,1540,441939,16,22,People & Blogs,high,low,2,57
UC_LmkAuD7-tVOQwEucIm_hQ,1540,57190,72,20,Gaming,high,low,2,1689
UCC4Y_HUm2bPmU5NDhD2oBUw,1541,552241,196,17,Sports,high,low,1,20
UCI-F_snhxBW0IWTdKI79FMw,1541,20309,209,26,Howto & Style,high,low,1,4276
UCIl5gOOLZtqh6XZtmdC4JUw,1541,394553,34,22,People & Blogs,high,low,1,818
UCBX__JEIfG8bmpYKe180jnQ,1542,143727,58,28,Science & Technology,high,low,1,113
UC6LEAzFWMi7KSe-h6aIhsEA,1542,127201,374,24,Entertainment,high,low,32,157
UC0f-EI-TkowjzqiSXOdV6fw,1542,52180,128,10,Music,high,low,96,229
UCqb3ie7RWZXpiko-OqZ9nmQ,1543,324685,28,22,People & Blogs,high,low,3,33
UCIDjoc5OjKzSVggQTmLsVRA,1543,296929,221,17,Sports,high,low,36,355
UCUSuyQrr0ySg5Hxy78ZemQA,1544,360979,165,10,Music,high,low,1,811
UCKTLmOBoIj0aci_r686Oz7Q,1544,50095,20,22,People & Blogs,high,low,1,255
UCSVSJWkJLdEGvsK8RzDApgA,1545,301747,166,26,Howto & Style,high,low,25,104
UC5FQCy5qG4e5B6O9skqm1CA,1546,287317,24,1,Film & Animation,high,low,1,70
UCOc2VBFB7CJJkwTNXEGdr3Q,1546,99543,167,24,Entertainment,high,low,2,504
UCvZhlmxFJ0EpZLEDS9ATyXQ,1549,26496,64,24,Entertainment,high,low,1,1338
UCS-Xte7BDVhIuAEbqNg_8hg,1549,97429,99,25,News & Politics,high,low,1,60
UCrwzNn8XAUhXoqDLeXtjuVg,1551,613586,256,27,Education,high,low,6,29
UCeu301_1S9HO2gm-eEDsctg,1551,326158,171,10,Music,high,low,2,94
UC0DriPpvW62PDyRTCvWSXJA,1551,223539,106,22,People & Blogs,high,low,1,151
UC6VcBi8J3HcoSFW_w8cX0TQ,1552,128470,36,20,Gaming,high,low,11,-14
UCkRPABSkk5XM22RBuo-0AiQ,1552,19421,18,10,Music,high,low,5,10
UChr06qgnW2AxsxUKDqIrlUQ,1553,415300,152,1,Film & Animation,high,low,1,41
UCOJAZbQrxuFYAtdXd4_LWlA,1553,214956,298,10,Music,high,low,26,322
UC1LWwqJlJ4nv8GCNa75vV-g,1555,55132,8,27,Education,high,low,1,117
UCsccRArCFHr89tJ-GWgY-wQ,1556,138347,804,25,News & Politics,high,low,51,12
UC8aJ_TgleBktoVVmPVkAymg,1556,188314,135,26,Howto & Style,high,low,6,60
UCe11b-ePtpKVQAAWfQwR0uA,1556,130844,20,10,Music,high,low,1,55
UCgM7cJ7TCYXJawzPMglmWLw,1557,292463,209,2,Autos & Vehicles,high,low,4,87
UCTIaOkKq_-_Ok3ichbGME3w,1559,57457,202,22,People & Blogs,high,low,1,810
UC8BgWUZnPt40c0ofllYIMjw,1559,88480,30,22,People & Blogs,high,low,2,834
UCUXWax9ehyGWuJQvF_r8joA,1561,68347,61,27,Education,high,low,10,302
UCDi9RYg2SDq_IUbvR0oVqEw,1562,333065,83,22,People & Blogs,high,low,5,185
UCUayMTODm0U11XIzVrNK_qw,1563,277956,72,22,People & Blogs,high,low,1,382
UCVzsWWXV5XkS-0KOtU2METg,1564,112704,226,22,People & Blogs,high,low,19,33
UCAfE1W8mEXKHKNY_hyWJ8_w,1567,1774653,350,24,Entertainment,high,low,3,83
UCJYto5Vpk7kq8HVp35XSTkA,1567,104349,742,22,People & Blogs,high,low,10,28
UC84s4Uc5-l5zB53b1hTfdZw,1567,407879,65,24,Entertainment,high,low,1,11
UCnkjzKFK3EWr2MK6aMgtp8g,1567,88243,40,28,Science & Technology,high,low,1,4
UCghYQQTardRy3vrlv9FxaiA,1567,248910,24,10,Music,high,low,2,76
UC7m5kGKOnlJF5ygeCchmgBg,1568,18185,32,22,People & Blogs,high,low,1,68
UCnbbF4ZBnGXGVXS7Dkze_TQ,1570,5092405,77,22,People & Blogs,high,low,1,7
