channelid,last_30_views,subscriber_lifetime,views_lifetime,life_uploads,catid,category,View_range,upload_range,sub_range,last_30_eng
UC-0_qmPw6_KOmyRN5SIT9bg,651,2507,235535,37,22,People & Blogs,high,low,medium,2
UC-0bDfJQAcRmOAgbzUlcF-g,10740,352435,49566648,1163,22,People & Blogs,high,medium,high,2
UC-2EC5fsTQrrpAi2JoQ5Glg,55,3690,178238,128,22,People & Blogs,high,low,medium,2
UC-2w3kGFPtCEiBs_5c0njkw,10693,38425,16790895,895,17,Sports,high,low,medium,32
UC-59LlLokQqtoYKZY68cizA,89971,291599,52434001,1386,10,Music,high,medium,high,90
UC-6pGrQ0LnB7JR7-g9txCUw,8370,83245,13590283,456,10,Music,high,low,medium,62
UC-8g0HshRxIlzz1pCgfDLZw,3495,31039,1621598,797,1,Film & Animation,medium,low,medium,4
UC-9BFuyugQl4fF2fjdWzdZA,58211,268169,8717429,326,27,Education,medium,low,high,2
UC-BEKbBI30BmSiycFfQuxPw,88,8235,1207357,86,10,Music,medium,low,medium,3
UC-Dhnn0heSEn43826q90ZKA,65,8347,1120620,211,20,Gaming,medium,low,medium,1
UC-FagGSZFqGLR07ol8uyB3g,55080,809065,310194261,1778,19,Travel & Events,high,medium,high,160
UC-G2eVFQy2z59SBoSjE4d5A,50822,404103,41061859,118,27,Education,high,low,high,1
UC-HzMRO1inWp2y3F9Iur17Q,6228,17187,1541133,46,19,Travel & Events,medium,low,medium,4
UC-IOaFbOlm-PKlv1632SkVg,50,1933,332745,385,22,People & Blogs,high,low,medium,3
UC-Kb9CAfJla8jMOLi8uj3AQ,49918,834014,39729688,235,26,Howto & Style,high,low,high,1
UC-LTLL6IUsk4FevB4KlV1zw,215,3964,496225,231,22,People & Blogs,high,low,medium,3
UC-N2GFf6Dmna8NZ51vO--Lg,30087,795301,95314035,485,26,Howto & Style,high,low,high,30
UC-Oonlp64WmcH89PtcKD6pw,286,8199,920839,3210,25,News & Politics,low,medium,medium,1
UC-OuA79MtJ4L7cGhpVY9i6g,24036,381486,91808378,491,22,People & Blogs,high,low,high,4
UC-PLG1ENeQbKbmhNPdYn3Ww,9378,13296,497022,94,27,Education,low,low,medium,5
UC-POFItrbFqDPowrLaetH1g,8500,11329,225353,9,28,Science & Technology,low,low,medium,1
UC-PQkVq-OwH2s5L6X0emrmA,250,2553,101110,32,24,Entertainment,high,low,medium,1
UC-PdH-ZSbIGsM6jK1mq55-g,364,1746,274155,158,28,Science & Technology,high,low,medium,46
UC-Q5X9Z92f4ngZj7KPFJZng,2691,25720,3057912,110,10,Music,medium,low,medium,1
UC-QrrwODsIxlPMlx5VP8Hsg,470,11424,13586130,715,22,People & Blogs,high,low,medium,17
UC-QtuTrhjsYFiZMg6QHdpAA,67,3857,272373,314,2,Autos & Vehicles,high,low,medium,21
UC-RNnb7afAhYax8AUUI61mg,0,11930,2063853,107,22,People & Blogs,medium,low,medium,14
UC-Rx3ZBduH5k5hKdFydbrEQ,21181,19221,819789,21,22,People & Blogs,low,low,medium,1
UC-TC-UkMTd0x_RIEwzGp9qQ,470,2536,517009,184,28,Science & Technology,high,low,medium,1
UC-UoNg9h4FmFy8R7E5TCyuQ,13452,209142,28569420,1357,27,Education,high,medium,high,19
UC-V-0JQE786dt4U2HuywJ6w,6614,53580,25863017,443,19,Travel & Events,high,low,medium,51
UC-V9Mloh_jF5xoSLKF46sVQ,3809,54687,6811885,217,26,Howto & Style,medium,low,medium,6
UC-YYWFue-XGVcub2xyZE_qg,49168,603040,91161622,2986,22,People & Blogs,high,medium,high,85
UC-ZMC8rZqGe0gVAkiCtgHnA,808,14469,2503325,1408,22,People & Blogs,medium,medium,medium,1
UC-ZjYoUDJF1Yd8bHyH-Hr9A,69,2901,703349,324,19,Travel & Events,high,low,medium,2
UC-adSEOQWFRYWw8JfHb7yUA,5748,45674,9387296,280,22,People & Blogs,medium,low,medium,2
UC-ahrcxWt9aMEsGL2OCw_Xg,87738,239270,64516419,898,26,Howto & Style,high,low,high,3
UC-bSQgmOmTd3WAjE4lnJTxg,15347,2321,168285,60,22,People & Blogs,high,low,medium,1
UC-bdz-5EeUPT7lp7oSg4D5w,11997,110916,11786413,5712,22,People & Blogs,high,medium,high,150
UC-dM1sglRNwd9JiCIoVQz8g,82910,766134,34327380,166,26,Howto & Style,high,low,high,7
UC-dfLnidWYaOFYvcFeK8E2Q,127,3401,359987,234,26,Howto & Style,high,low,medium,5
UC-fTSP7yn4ZTD9EAHDCqq3Q,16368,402918,25827234,69,24,Entertainment,high,low,high,12
UC-fWwhwAytZ6_BqYpu750CA,206,3565,1370015,508,10,Music,high,low,medium,19
UC-hWpkn707VYLhO4L-WhmrA,762,1781,108974,37,23,Comedy,high,low,medium,1
UC-iQQ846V_3MCl2Xp87uvuw,98,2201,653024,91,17,Sports,high,low,medium,1
